type,price,address,description,bedrooms,bathrooms,agency_name,agency_link,image_url
Apartment,"5,000  QAR / MONTH",Al Nasr,SPACIOUS TWO BEDROOM FLATS ,2,2,Pleiades Real Estate,https://www.qatarliving.com/user/pleiades-real-estate-0,https://files.qatarliving.com/styles/555x415/s3/2020/03/29/a908ac68-5659-4e1a-a294-7ccc7f73e182.jpg?itok=xYHxJ4xu
Apartment,"3,500  QAR / MONTH",Al Khor,1 bhk fully furnished,1,1,centurydoha,https://www.qatarliving.com/user/centurydoha,https://files.qatarliving.com/styles/555x415/s3/2020/04/20/04ac150b-5145-4194-adf4-ec0589f31852-copy.jpg?itok=386zgS0z
Apartment,"4,500  QAR / MONTH",Al Khor,2BHK FLAT IN ALKHOR,2,2,centurydoha,https://www.qatarliving.com/user/centurydoha,https://files.qatarliving.com/styles/555x415/s3/2020/01/13/apt-4-main-building.jpg?itok=-cbX4kLn
Apartment,"5,000  QAR / MONTH",Umm Ghwailina,1BHK FF APARTMENT IN UMM GHUWAILINA ! ALL INCLUSIVE (SOVEREIGN RESIDENCE 2),1,1,Homes2Rent,https://www.qatarliving.com/user/homes2rent-1,https://files.qatarliving.com/styles/555x415/s3/2019/12/04/bldg_1.jpg?itok=KKn829F8
Apartment,"5,500  QAR / MONTH",Najma,Fully Furnished 2BHK in Najma,2,2,alameenqatar,https://www.qatarliving.com/user/alameenqatar,https://files.qatarliving.com/styles/555x415/s3/2019/08/14/37539437_10156488481623698_3242355388246392832_n.jpg?itok=ouZE9R_0
Apartment,"6,300  QAR / MONTH",Old Salata,2 BHK Old Salata **NO COMMISSION**,2,2,alameenqatar,https://www.qatarliving.com/user/alameenqatar,https://files.qatarliving.com/styles/555x415/s3/2020/03/05/20200301_161857.jpg?itok=8i7I3blD
Apartment,"5,700  QAR / MONTH",Old Airport,3BHK Semi Furnished Apartments Old Airport near Tea Time,3,2,alameenqatar,https://www.qatarliving.com/user/alameenqatar,https://files.qatarliving.com/styles/555x415/s3/2019/12/08/WhatsApp-Image-2019-02-25-at-11.40.38-1.jpeg?itok=sfaH8VO8
Apartment,"6,500  QAR / MONTH",Fereej Bin Mahmoud,ONE MONTH RENT FREE 2 BEDROOM FULLY FURNISHED APARTMENT,2,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2018/11/27/RE-167.jpg?itok=qbjSDDZf
Apartment,"7,500  QAR / MONTH",Fereej Bin Mahmoud,NO COMMISSION! 3BR- FULLY FURNISHED APARTMENT (1 MONTH RENT FREE),3,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2019/09/18/LA1.JPG?itok=ZLSt9mHX
Apartment,"5,750  QAR / MONTH",Fereej Bin Mahmoud,2 Bedroom Furnished Apartment,3,3,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2020/01/08/RE-105.jpg?itok=TeYRgDhn
Apartment,"7,500  QAR / MONTH",Fereej Bin Mahmoud,NO COMMISSION! 3BR FURNISHED APARTMENT WITH ONE MONTH RENT FREE,3,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2019/09/18/Desert-Rose-01.JPG?itok=UpvANKBC
Apartment,"6,000  QAR / MONTH",Fereej Bin Mahmoud,NO COMMISSION! 2 BR FULLY FURNISHED APARTMENT WITH 1 MONTH RENT FREE ,2,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2019/09/18/LA1_0.JPG?itok=rcombKI3
Apartment,"7,250  QAR / MONTH",Fereej Bin Mahmoud,ONE MONTH FREE 3 Bed Furnished Apartment with 1 Month rent free,3,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2019/02/05/RE-167.jpg?itok=G2rCNycp
Apartment,"7,250  QAR / MONTH",Fereej Bin Mahmoud,NO COMMISSION! 3 bed Fully Furnished Apartment with 1 month rent free,3,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2019/09/18/RE-152.jpg?itok=pwpkquOB
