title,description,location,features,date,price
NEAR INTERNATIONAL AIRPORT,Best prpoarty near proposed Navi Mumbai international airport  panvel station 10 minutes distance connected  to mumbai Goa  express way,"India, Maharashtra, Navi Mumbai, Karanjade",1 Bds - 1 Ba - 610 ft2,2020-02-28T15:09:09+0000,"₹ 30,00,000"
"LUXURIOUS LIFESTYLE - GATED COMMUNITY WITH ALL AMENITIES - 1,2,3 BHK",LUXURIOUS LIFE STYLES @ THUMUKUNTA - MEGA GATED COMMUNITY PROJECT .  PRE LAUNCH OFFER - MARCH 5TH BHOOMI PUJA  5FLOORS APARTMENT -  1BHK - 650SFT  2BHK - 1050SFT TO 1100 SFT  3BHK - 1350 SFT TO 1450 SFT  AMENITIES :  SWIMMING POOL  FULLY EQUIPPED GYM  SHUTTLE COURT  2 FLOORS CLUB HOUSE  INDOOR GAMES  LANDSCAPED GARDENS  ROOF GARDEN  MINI FUNCTION HALL  ONLY ONE DAY OFFER -  THUMUKUNTA .  FOR MORE DETAILS CALL ME @ VAMSI .K,"India, Telangana, Hyderabad, Tumkunta",3 Bds - 3 Ba - 1350 ft2,2020-02-28T15:08:45+0000,"₹ 36,45,000"
"Urgent Flat For Sale- Plot no.-1, Near 33 KVA Power House, Badgaon",1BHK flat for sale  Ground floor,"India, Rajasthan, Udaipur, Badgaon",1 Bds - 1 Ba - 645 ft2,2020-02-28T15:07:59+0000,"₹ 14,90,000"
2bhk house for sale @Sadasivpet town Mumbai highway,100 sqr yds 2bhk house 75% bank loan facility,"India, Telangana, Sadasivpet, Lopalikota",2 Bds - 2 Ba - 600 ft2,2020-02-28T15:07:45+0000,"₹ 23,00,000"
உங்கள் வீடு,இது உங்கள் வீடு மற்றும் சொந்த வீடு,"India, Tamil Nadu, Veppampattu, Nadukuthagai Balaji Nagar",1 Bds - 1 Ba - 600 ft2,2020-02-28T15:07:38+0000,"₹ 18,00,000"
2BHK flat Karjat- 31.50Lac,"New Launching Project in Karjat. Total 6.5 acres land parcel (Stilt +8 Storied 6 Towers & Stilt +12 Storied 2  Residential Project) Status: O C received  Location - 3 min Walking distance from Karjat Railway Station & Just Infront of Bus depot 1BHK Carpet Area - 471/ 482 sq ft. 2 BHK Carpet Area - 685/732sqft -: Project Features:- Hilltop project • 6.5  Acres land 8 Bldg Residential Buildings, Lavish 1 & 2 BHK Apartment. Earthquake resistant buildings 24 hours Water, Sewage Water Treatment  System, Solar Water Heating System FITTINGS Jaquar Fittings Amenities •  Clubhouse  •  Community Hall  •  Gymnasium   •  Swimming Pool •  Indore Games Location Advantage  Walking distance from Karjat Railway Station & IN front of ST Bus Depot ￼ . • 45 Minutes from Navi Mumbai. • 30 Minutes from Proposed International Airport ￼. • Near Educational institutes ￼ and Hospitals ￼  • 5 to 10 Minutes distance from D-Mart, Domino's ￼, & Banks ￼","India, Maharashtra, Navi Mumbai, Vashi",2 Bds - 2 Ba - 1000 ft2,2020-02-28T15:07:08+0000,"₹ 31,50,000"
Kothi for sale  new building  4 floor,Kothi for sale,"India, Uttar Pradesh, Noida, Sector 33",4+ Bds - 4 Ba - 900 ft2,2020-02-28T15:07:00+0000,"₹ 1,20,00,000"
My house like palace,Joint family,"India, West Bengal, Uttar Bagdogra, Kamalpur",4+ Bds - 4+ Ba - 1500 ft2,2020-02-28T15:06:52+0000,"₹ 2,10,00,000"
kothi in model town,18 marla kothi for sale in model town jalandhar kothi near market.i am nine three five six three zero three one zero one,"India, Punjab, Jalandhar, Model Town",4 Bds - 4 Ba - 3600 ft2,2020-02-28T15:06:36+0000,"₹ 3,25,00,000"
Semi-Furnished 2 BHK Flats. 100% Loanable in Mansarovar,Luxurious 2 BHK Flats. Located near Vijay Path Mansarovar.  3 sides open building. As per JDA Set-Back By-Laws. Corner and Front Flats Available. JDA approved. SUBSIDY OF 2.67 LAKHS AVAILABLE.  VIDEO DOOR PHONE FOR SECURITY. Modular Kitchen with Cabinets. Fall ceiling in Hall & Bedrooms. CHIMNEY GEYSER ROYAL ASIAN PAINT WITH TEXTURE DESIGNS  CALL:- 94.68.9555.83.,"India, Rajasthan, Jaipur, Mansarovar",2 Bds - 2 Ba - 1000 ft2,2020-02-28T15:06:15+0000,"₹ 28,00,037"
1 BHK semifrunished flat for sale inDLF Ankur vihar,This property is on 30 feet wide road and 80% Home loan available,"India, Uttar Pradesh, Loni, DLF Ankur Vihar",1 Bds - 1 Ba - 450 ft2,2020-02-28T15:06:09+0000,"₹ 13,56,000"
2 Bhk in 45 lac package Investors flat for sale in virar west,"Society Registered,  one of the finest construction,  developed by Rustomjee builder. Near Rustomjee Cambridge international school,  surrounded with school,  club house and amuesment park.","India, Maharashtra, Mumbai, Virar West",2 Bds - 2 Ba - 995 ft2,2020-02-28T15:06:06+0000,"₹ 45,00,000"
1BHK ARGENT SALE IN GOOD COMPLEX,"The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools, hospitals, banks and ATM's as well.","India, Maharashtra, Mumbai, Mira Road",1 Bds - 2 Ba - 705 ft2,2020-02-28T15:06:03+0000,"₹ 54,00,000"
1BHK  Luxuries flat start  from 45lac at Mira road east,"NOW OR NEVER  FIRST TIME JP INFRA LAUNCHING LOW-COST HOME IN MIRA ROAD WITH DESCENT SIZE AND ALL MODERN AMENITIES .     Located in Mira Road East, Mumbai, North Aviva is a premium housing project launched by JP Infra. The project offers Apartment in 1 BHK configurations available from 0 sqft. The project is Launch project and possession in Dec 25. North Aviva has many amenities, such as Treatment And Disposal Of Sewage And Sullage Water, Energy management, Water Supply, Storm Water Drains, Landscaping & Tree Planting etc.","India, Maharashtra, Mumbai, Mira Road",1 Bds - 1 Ba - 695 ft2,2020-02-28T15:06:03+0000,"₹ 45,00,000"
"PRE LAUNCH OFFER - LUXURIOUS GATED COMMUNITY - 1,2,3,BHK FLATS -ALWAL",LUXURIOUS LIFE STYLES @ THUMUKUNTA - MEGA GATED COMMUNITY PROJECT .  PRE LAUNCH OFFER - MARCH 5TH BHOOMI PUJA  5FLOORS APARTMENT -  1BHK - 650SFT  2BHK - 1050SFT TO 1100 SFT  3BHK - 1350 SFT TO 1450 SFT  AMENITIES :  SWIMMING POOL  FULLY EQUIPPED GYM  SHUTTLE COURT  2 FLOORS CLUB HOUSE  INDOOR GAMES  LANDSCAPED GARDENS  ROOF GARDEN  MINI FUNCTION HALL  ONLY ONE DAY OFFER -  THUMUKUNTA .,"India, Telangana, Hyderabad, Tumkunta",2 Bds - 2 Ba - 1100 ft2,2020-02-28T15:05:57+0000,"₹ 29,70,000"
"+ @@@Properties for Sale in Rajpur Sonarpur, West Bengal ++","+ @@@Properties for Sale in Rajpur Sonarpur, West Bengal ++","India, West Bengal, Kolkata, Gariya",3 Bds - 3 Ba - 1180 ft2,2020-02-28T15:05:52+0000,"₹ 33,00,756"
"3 BHK Flats for sale in Rajpur, Kolkata","3 BHK Flats for sale in Rajpur, Kolkata","India, West Bengal, Kolkata, Rajpur",3 Bds - 3 Ba - 1180 ft2,2020-02-28T15:05:52+0000,"₹ 33,00,021"
"2 BHK Flats for Sale in Realtech Hijibiji at  Rajarhat, Kolkata","2 BHK Flats for Sale in Realtech Hijibiji at  Rajarhat, Kolkata","India, West Bengal, Kolkata, Rajarhat",2 Bds - 2 Ba - 900 ft2,2020-01-30T06:24:33+0000,"₹ 40,50,000"
Get 2BHK Kothi at just 20.90 lakhs in Derabassi,"Independent House/Villas for sale in Dera Bassi |Mohali |ZirakPur| Chandigarh |Houses for sale in Dera Bassi, Chandigarh - Houses in Dera Bassi | Property in Dera Bassi, Chandigarh - Real estate/property for sale | Kothi at Derabassi | Villas near Derabassi   Realm green enclave  Address: Realm green enclave near Tehsil Road, Dera Bassi, Chandigarh, Zirakpur, Punjab.   The green enclave township has been created for families with discerning tastes, who appreciate the subtle nuances of a sophisticated lifestyle; Enjoy the lush green gardens, the pollution-free air, plenty of natural sunlight, and an inspiring view of gorgeous surrounding at green enclave! Green enclave offers a choice of plots of different styles and sizes for bungalows & independent houses set in a harmonious ambiance.   - Take a leisurely evening stroll, green enclave offers the perfect ambiance for every need.   - Conveniently located on tehsil road, Dera Bassi green enclave enjoys the prestige and privilege of being proximal to Chandigarh, Panchkula and close to the international airport, main malls, luxury hotels, business, and industrial parks.  - 85% bank loan facility available from all leading banks   Features:-  * Situated in a prime zone with a Shivalik hills see the big entrance gate.  * 24x7 security with cc tv surveillance, clubhouse with gym and indoor games.  * Ample drainage system, Vastu friendly.  * Lush green parks and running tracks, community hall, and cafeteria.  * Secured walled and gated community, secured kids playing zone and water bodies.  * shopping arcade for step by step needs.  Best accessibility:-  - Rule bazar - 6 min, apna hospital - 7 min  - Oil pump - 3 min, bus stand - 6 min  - Bank-3 min, school - 11 min  - Ordinary hospital - 5 min, enlistment center office and court complex - 7min","India, Punjab, Dera Bassi, Haibatpur Road",2 Bds - 1 Ba - 640 ft2,2020-02-11T09:24:17+0000,"₹ 20,90,120"
"2 BHK + Terrace Flats for Sale in Roadpali, Navi Mumbai","FREEHOLD PLOT | CC & CRZ CLEARANCE - Available | Payment Plan Available| Plot Size:- 3049.31 SQ. MTRS. | G+16 Floors Stand-alone Tower - 1Bhk, 2Bhk + T & 2Bhk Flats | TOTAL UNITS# 110.  CCTV • Car Parking • WI-FI • Clubhouse • Swimming Pool & Kids Pool • Landscape Garden at 2nd Floor • Children play area • Water Bodies and Fountains • Acupressure • Walk Area • Amphitheater • Indoor games Room • Party Lawn","India, Maharashtra, Navi Mumbai, Kamothe",2 Bds - 2 Ba - 1705 ft2,2020-01-30T17:01:39+0000,"₹ 1,31,01,778"
LUXURIOUS LIFE STYLE IS BROUGHT TO YOU BY OUR GATED COMMUNITY @ ALWAL,LUXURIOUS LIFE STYLES @ THUMUKUNTA - MEGA GATED COMMUNITY PROJECT .  PRE LAUNCH OFFER - MARCH 5TH BHOOMI PUJA  5FLOORS APARTMENT -  1BHK - 650SFT  2BHK - 1050SFT TO 1100 SFT  3BHK - 1350 SFT TO 1450 SFT  AMENITIES :  SWIMMING POOL  FULLY EQUIPPED GYM  SHUTTLE COURT  2 FLOORS CLUB HOUSE  INDOOR GAMES  LANDSCAPED GARDENS  ROOF GARDEN  MINI FUNCTION HALL  ONLY ONE DAY OFFER -  THUMUKUNTA .,"India, Telangana, Hyderabad, Tumkunta",1 Bds - 1 Ba - 650 ft2,2020-02-28T15:02:57+0000,"₹ 17,49,999"
TGP STEEL CITY,"Full compound with Arch designed construction Over head water tank of 30,000litres quantity Separate Plantation for Each Water connection for Each plots Main Road of 33 ft with Black Top Road and drainage facilities Park with 22,000ft for walking 24*7 security Street lights and EB service 3 years Free Maintenance Legal book for 50 years At k.r Thoppur","India, Tamil Nadu, Salem, Kondanampatty",2 Bds - 2 Ba - 1099 ft2,2020-02-28T15:02:32+0000,"₹ 28,00,000"
House for sale,Call  me 9633  7432.   74,"India, Kerala, Kanjikode Industrial Area, Kanjikodu Village",4 Bds - 4 Ba - 1800 ft2,2020-02-28T15:02:28+0000,"₹ 50,00,000"
Brand new 2 bhk Row house for sale in lohegaon,Brand new 2 bhk Row house sale at lohegaon  2 toilet bathroom with balcony  Car parking  Loan facility is available  Possession in 2 months,"India, Maharashtra, Pune, Viman Nagar",2 Bds - 2 Ba - 1410 ft2,2020-02-28T15:02:25+0000,"₹ 21,00,036"
Kakkanad Kangarappady semi furnished 4 bedroom villa,"Kakkanad Kangarappady semi furnished 4 bedroom villa good Residential area 500 mtr busroot 1 kilometers Kangarappady junction 2 kilometers seaport airport rd near 5 kilometers Kakkanad infopark civil station More deatils please call vinu 9895,374760,,7012,163435","India, Kerala, Kochi, Kakkanad",4 Bds - 4 Ba - 2000 ft2,2020-02-28T15:02:19+0000,"₹ 73,00,000"
