name,type,location,website
Bryn Mawr College,4 Year,"Bryn Mawr, PA",https://www.niche.com/colleges/bryn-mawr-college/
Kenyon College,4 Year,"Gambier, OH",https://www.niche.com/colleges/kenyon-college/
Rensselaer Polytechnic Institute,4 Year,"Troy, NY",https://www.niche.com/colleges/rensselaer-polytechnic-institute/
University of Miami,4 Year,"Coral Gables, FL",https://www.niche.com/colleges/university-of-miami/
University of California - Santa Barbara,4 Year,"Santa Barbara, CA",https://www.niche.com/colleges/university-of-california---santa-barbara/
Bentley University,4 Year,"Waltham, MA",https://www.niche.com/colleges/bentley-university/
CUNY Stella & Charles Guttman Community College,2 Year,"New York, NY",https://www.niche.com/colleges/cuny-stella--and--charles-guttman-community-college/
University of Delaware,4 Year,"Newark, DE",https://www.niche.com/colleges/university-of-delaware/
Michigan Technological University,4 Year,"Houghton, MI",https://www.niche.com/colleges/michigan-technological-university/
University of Massachusetts - Amherst,4 Year,"Amherst, MA",https://www.niche.com/colleges/university-of-massachusetts---amherst/
Syracuse University,4 Year,"Syracuse, NY",https://www.niche.com/colleges/syracuse-university/
Pepperdine University,4 Year,"Malibu, CA",https://www.niche.com/colleges/pepperdine-university/
California Polytechnic State University - San Luis Obispo,4 Year,"San Luis Obispo, CA",https://www.niche.com/colleges/california-polytechnic-state-university---san-luis-obispo/
University of South Florida,4 Year,"Tampa, FL",https://www.niche.com/colleges/university-of-south-florida/
Denison University,4 Year,"Granville, OH",https://www.niche.com/colleges/denison-university/
Rutgers University - New Brunswick,4 Year,"Piscataway, NJ",https://www.niche.com/colleges/rutgers-university---new-brunswick/
University of Iowa,4 Year,"Iowa City, IA",https://www.niche.com/colleges/university-of-iowa/
Auburn University,4 Year,"Auburn, AL",https://www.niche.com/colleges/auburn-university/
Saint Louis University,4 Year,"St. Louis, MO",https://www.niche.com/colleges/saint-louis-university/
University of San Diego,4 Year,"San Diego, CA",https://www.niche.com/colleges/university-of-san-diego/
Loyola Marymount University,4 Year,"Los Angeles, CA",https://www.niche.com/colleges/loyola-marymount-university/
Iowa State University,4 Year,"Ames, IA",https://www.niche.com/colleges/iowa-state-university/
Sewanee - The University of the South,4 Year,"Sewanee, TN",https://www.niche.com/colleges/sewanee---the-university-of-the-south/
Rhode Island School of Design,4 Year,"Providence, RI",https://www.niche.com/colleges/rhode-island-school-of-design/
Oberlin College,4 Year,"Oberlin, OH",https://www.niche.com/colleges/oberlin-college/
University of Utah,4 Year,"Salt Lake City, UT",https://www.niche.com/colleges/university-of-utah/
Lawrence University,4 Year,"Appleton, WI",https://www.niche.com/colleges/lawrence-university/
Baylor University,4 Year,"Waco, TX",https://www.niche.com/colleges/baylor-university/
James Madison University,4 Year,"Harrisonburg, VA",https://www.niche.com/colleges/james-madison-university/
University of Oklahoma,4 Year,"Norman, OK",https://www.niche.com/colleges/university-of-oklahoma/
University of Rochester,4 Year,"Rochester, NY",https://www.niche.com/colleges/university-of-rochester/
Southern Methodist University,4 Year,"Dallas, TX",https://www.niche.com/colleges/southern-methodist-university/
Brigham Young University,4 Year,"Provo, UT",https://www.niche.com/colleges/brigham-young-university/
Case Western Reserve University,4 Year,"Cleveland, OH",https://www.niche.com/colleges/case-western-reserve-university/
Macalester College,4 Year,"Saint Paul, MN",https://www.niche.com/colleges/macalester-college/
Villanova University,4 Year,"Villanova, PA",https://www.niche.com/colleges/villanova-university/
Lafayette College,4 Year,"Easton, PA",https://www.niche.com/colleges/lafayette-college/
Purdue University,4 Year,"West Lafayette, IN",https://www.niche.com/colleges/purdue-university/
College of the Holy Cross,4 Year,"Worcester, MA",https://www.niche.com/colleges/college-of-the-holy-cross/
Tulane University,4 Year,"New Orleans, LA",https://www.niche.com/colleges/tulane-university/
Babson College,4 Year,"Babson Park, MA",https://www.niche.com/colleges/babson-college/
Colorado School of Mines,4 Year,"Golden, CO",https://www.niche.com/colleges/colorado-school-of-mines/
Santa Clara University,4 Year,"Santa Clara, CA",https://www.niche.com/colleges/santa-clara-university/
University of Minnesota - Twin Cities,4 Year,"Minneapolis, MN",https://www.niche.com/colleges/university-of-minnesota---twin-cities/
Mount Holyoke College,4 Year,"South Hadley, MA",https://www.niche.com/colleges/mount-holyoke-college/
Worcester Polytechnic Institute,4 Year,"Worcester, MA",https://www.niche.com/colleges/worcester-polytechnic-institute/
University of Washington,4 Year,"Seattle, WA",https://www.niche.com/colleges/university-of-washington/
Penn State,4 Year,"University Park, PA",https://www.niche.com/colleges/penn-state/
The Ohio State University,4 Year,"Columbus, OH",https://www.niche.com/colleges/the-ohio-state-university/
Texas A&M University,4 Year,"College Station, TX",https://www.niche.com/colleges/texas-a-and-m-university/
North Carolina State University,4 Year,"Raleigh, NC",https://www.niche.com/colleges/north-carolina-state-university/
Reed College,4 Year,"Portland, OR",https://www.niche.com/colleges/reed-college/
Rose-Hulman Institute of Technology,4 Year,"Terre Haute, IN",https://www.niche.com/colleges/rose-hulman-institute-of-technology/
Scripps College,4 Year,"Claremont, CA",https://www.niche.com/colleges/scripps-college/
Clemson University,4 Year,"Clemson, SC",https://www.niche.com/colleges/clemson-university/
"Binghamton University, SUNY",4 Year,"Vestal, NY",https://www.niche.com/colleges/binghamton-university-suny/
Texas Tech University,4 Year,"Lubbock, TX",https://www.niche.com/colleges/texas-tech-university/
California State University - Long Beach,4 Year,"Long Beach, CA",https://www.niche.com/colleges/california-state-university---long-beach/
LeTourneau University,4 Year,"Longview, TX",https://www.niche.com/colleges/letourneau-university/
College of Wooster,4 Year,"Wooster, OH",https://www.niche.com/colleges/college-of-wooster/
Fairfield University,4 Year,"Fairfield, CT",https://www.niche.com/colleges/fairfield-university/
