Song Heading,Singer,Composer,Lyricist,Actor,Film (Year),Category
Aa Re Panchhi Pyare Panchhi1.00 - 1 votes,Devika Rani,Saraswati Devi,Jamuna Swaroop Kashyap Naatwan,,Vachan (1938),
Baisakh Jeth Phagun1.00 - 1 votes,Ashok Kumar,Saraswati Devi,Jamuna Swaroop Kashyap Naatwan,,Vachan (1938),
Hain Dono Hi Pare Haasil Kya (Hriday Hai Kahi Aur Jaan Hai Kahi)1.00 - 1 votes,Ashok Kumar,Saraswati Devi,Jamuna Swaroop Kashyap Naatwan,,Vachan (1938),
Janoon Tore Saajan Ki Ghatiyan1.00 - 1 votes,"Meera, Devika Rani",Saraswati Devi,Jamuna Swaroop Kashyap Naatwan,,Vachan (1938),
Namo Namo Hey Veer Namo Namo Hey Dheer1.00 - 1 votes,Devika Rani,Saraswati Devi,Jamuna Swaroop Kashyap Naatwan,,Vachan (1938),
Aaj Pee Darshan Mila Mujhe Aaj Sajan Mila3.00 - 3 votes,,Gopal Rao,,,Vaasna (1952),
Ab Gale Milan Ki Vaari1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Jagiye Shree Maharaj Nav Prabhat Aayo1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Mann Sanjh Savere Rota Hai1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Mann Tujhe Hua Hai Kya1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Papi Jaha Mujhko Tumse Chuda Raha Hai1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Us Paar Mujhe Le Chal Panchhi1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Ye Kaisi Aayi Aaj Prem Ki Bahar1.00 - 1 votes,,Gopal Rao,,,Vaasna (1952),
Aala Re Aala Govinda Aala3.19 - 16 votes,"Vinod Rathod, Atul Kale",Jatin Lalit,Sameer,"Kashmira Shah, Namrata Shirodkar, Sanjay Dutt",Vaastav (1999),"Masti Bhare Geet, Dance Songs"
Javani Se Ab Jang Hone Lagi4.25 - 8 votes,Preeta Mazumder,Jatin Lalit,Sameer,"Sanjay Dutt, Kashmira Shah",Vaastav (1999),"Item Songs, Dance Songs"
Chal Bidu Chal3.75 - 4 votes,"Kumar Sanu, Atul Kale",Jatin Lalit,Sameer,"Kashmira Shah, Namrata Shirodkar",Vaastav (1999),"Masti Bhare Geet, Dance Songs"
Meree Duniya Hai Tujhame Kahee4.64 - 11 votes,"Kavita Krishnamurthy, Sonu Nigam",Jatin Lalit,Sameer,"Namrata Shirodkar, Sanjay Dutt, Kashmira Shah",Vaastav (1999),Romantic Songs
Shendur Laal Chadhaayo Achchha Gajamukha Ko4.50 - 12 votes,Ravindra Sathe,Jatin Lalit,Sameer,"Namrata Shirodkar, Sanjay Dutt, Kashmira Shah",Vaastav (1999),Religious Songs
Meri Duniya Hai (Male)2.83 - 6 votes,Sonu Nigam,Jatin Lalit,Sameer,,Vaastav (1999),
Tere Pyar Ne (Female)3.00 - 1 votes,Kavita Krishnamurthy,Jatin Lalit,Sameer,,Vaastav (1999),Romantic Songs
Vaastav (Theme 1)3.00 - 1 votes,Ravindra Sathe,Atul Ranade,Sameer,,Vaastav (1999),Instrumental Songs
Om Om Om Shri Krishnen Subhadraaye Garbhavatyenirupitam3.91 - 11 votes,Ravindra Sathe,Rahul Ranade,Sameer,"Namrata Shirodkar, Sanjay Dutt, Kashmira Shah",Vaastav (1999),
Tere Pyar Ne Sanam Jadu Kya Kar Diya (Male)4.50 - 2 votes,Kumar Sanu,Jatin Lalit,Sameer,,Vaastav (1999),Romantic Songs
Apni Maa Hai Duniya Ki Sabse Achchh Maa4.00 - 2 votes,Shankar Mahadevan,Rahul Ranade,Gautam Joglekar,"Namrata Shirodkar, Sanjay Dutt, Kashmira Shah",Vaastav (1999),
Mai Sadqe Jau Mere Saiya Tum Aaye To Ho3.76 - 17 votes,Lata Mangeshkar,Chitragupt,Sahir Ludhianvi,Raaj Kumar,Vaasna (1968),Mujra Songs
Mulk Me Bachcho Ki Gar Sarkar Ho3.50 - 4 votes,"Asha Bhosle, Lata Mangeshkar",Chitragupt,Sahir Ludhianvi,,Vaasna (1968),Songs for Kids
"Yeh Parbato Ke Daayare, Yeh Shaam Kaa Dhua4.46 - 68 votes","Lata Mangeshkar, Mohammed Rafi",Chitragupt,Sahir Ludhianvi,Biswajeet,Vaasna (1968),Romantic Songs
Aaj Is Darja Pila Do Ke4.40 - 25 votes,Mohammed Rafi,Chitragupt,Sahir Ludhianvi,Raaj Kumar,Vaasna (1968),Sharabi Songs
Itani Naazuk Na Bano Haay4.38 - 37 votes,Mohammed Rafi,Chitragupt,Sahir Ludhianvi,,Vaasna (1968),
Jine Wale Jhum Ke Mastana Ho Ke Dekh4.28 - 25 votes,Lata Mangeshkar,Chitragupt,Sahir Ludhianvi,Helen,Vaasna (1968),Dance Songs
Dhup Ho Ya Chhav Ho4.40 - 5 votes,Manna Dey,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Sadak Pyar Ki Kadak Badi Hai4.00 - 3 votes,"Sudha Malhotra, Geeta Dutt",Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Upar Se Ujle Bhitar Se Kale4.00 - 2 votes,Mohammed Rafi,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Jhumo Re Jhumne Ke Din Aaye3.00 - 2 votes,"Mahendra Kapoor, Geeta Dutt",Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),Masti Bhare Geet
Badal Rahi Zameen Badal Raha Aasman3.00 - 1 votes,Geeta Dutt,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Paschim Se Azadi Aayi3.00 - 1 votes,Jaymala,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Bangal Ke Babu4.75 - 4 votes,Ismail Azad Qawwal,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Shirdi Ke Sai Baba4.00 - 3 votes,Geeta Dutt,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Ye Bhi To Insaan1.00 - 1 votes,Asha Bhosle,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Ye Bhi To Insaan (2)1.00 - 1 votes,Asha Bhosle,Suresh Talwar,Bharat Vyas,,Fashionable Wife (1959),
Aankho Me Meri Chhaya Nasha4.00 - 2 votes,Asha Bhosle,Sonik Omi,Hasrat Jaipuri,,Farz Ki Keemat (1985),
Ruk Ja Dilbar Ruk Ja Rani4.00 - 2 votes,"Amit Kumar, Chandrani Mukherjee",Sonik Omi,Hasrat Jaipuri,,Farz Ki Keemat (1985),
Dheere Dheere Haule Haule3.00 - 1 votes,Asha Bhosle,Sonik Omi,Hasrat Jaipuri,,Farz Ki Keemat (1985),
Ek Shama Kitne Hai Parwane3.00 - 1 votes,Asha Bhosle,Sonik Omi,Hasrat Jaipuri,,Farz Ki Keemat (1985),
"Phool Ka Shabab Kya, Husn Mahatab Kya4.42 - 12 votes",Mohammed Rafi,Bappi Lahiri,"Anjaan, Naqsh Lyallpuri",,Farz Ki Jung (1989),Romantic Songs
"O Saathiya Ab Darr Kya, Pyar Kiya To Pyar Kiya4.23 - 13 votes","Anuradha Mukherjee, Shabbir Kumar",Bappi Lahiri,"Naqsh Lyallpuri, Anjaan",,Farz Ki Jung (1989),Romantic Songs
He He Nachenge Jhum Ke Nachenge4.00 - 2 votes,"Alisha Chinai, Reema Lahiri, Mohammed Aziz, Vijay Benedict",Bappi Lahiri,"Naqsh Lyallpuri, Anjaan","Govinda, Neelam Kothari",Farz Ki Jung (1989),Dance Songs
Abhi Abhi Aayi Hun3.00 - 1 votes,Asha Bhosle,Bappi Lahiri,"Naqsh Lyallpuri, Anjaan",,Farz Ki Jung (1989),
Aapse Mile Dil Aapka Huaa1.00 - 1 votes,Asha Bhosle,Bappi Lahiri,"Naqsh Lyallpuri, Anjaan",,Farz Ki Jung (1989),
Jane Kyo Chori Chori1.00 - 1 votes,,Prem Dhawan,Prem Dhawan,,Farz Aur Khoon (1978),
Khel Tere Wah1.00 - 1 votes,,Prem Dhawan,Prem Dhawan,,Farz Aur Khoon (1978),
O Din Aaye Mad Maate1.00 - 1 votes,,Prem Dhawan,Prem Dhawan,,Farz Aur Khoon (1978),
Hawa Aa Rahi Ghata Cha Rahi3.00 - 1 votes,,K S Sagar,,,Farz (1947),
O Nargis Pyare3.00 - 1 votes,,K S Sagar,,,Farz (1947),
O Sajan Samjhavo Na3.00 - 1 votes,,K S Sagar,,,Farz (1947),
Umange Mit Rahi Hai Aaj Benamo Nishan Hokar3.00 - 1 votes,,K S Sagar,,,Farz (1947),
Yeh Kaisa Zamana3.00 - 1 votes,,K S Sagar,,,Farz (1947),
Iss Desh Ke Jawano Ko Abb Aajmaya Jayega2.83 - 6 votes,Zeenat Begum,,,,Farz (1947),
Dil Bechne Nikli1.33 - 3 votes,,K S Sagar,,,Farz (1947),
Kaun Sune Fariyad Meri3.00 - 1 votes,,K S Sagar,,,Farz (1947),
Tera Bedardi Baalam1.00 - 1 votes,,K S Sagar,,,Farz (1947),
"Dekhe Bhi To Kya Dekhe, Hamane Tumhen Paa Liyaa3.88 - 8 votes","Lata Mangeshkar, Udit Narayan",Uttam Singh,Sameer,"Sunny Deol, Preity Zinta",Farz (2001),Romantic Songs
Elo Elo Ji Ye Khone Lagaa3.00 - 1 votes,"Alka Yagnik, Udit Narayan",Uttam Singh,Sameer,"Preity Zinta, Sunny Deol",Farz (2001),
Har Subah Yad Rakhna Har Sham Yad Rakhna3.00 - 1 votes,"Lata Mangeshkar, Udit Narayan",Uttam Singh,Sameer,,Farz (2001),
Mar Gaya Bichhua Bichhua Bedard Aadhee Rat Ko3.00 - 1 votes,Anupama Deshpande,Uttam Singh,Sameer,,Farz (2001),
"Mohabbat Ke Din Ho, Mohabbat Kee Rate3.00 - 1 votes","Alka Yagnik, Udit Narayan",Anu Malik,Sameer,,Farz (2001),
Saare Shahar Men Hangaamaa Hai3.00 - 1 votes,"K. K., Richa Sharma, Sunidhi Chauhan",Aadesh Shrivastava,Sameer,"Preity Zinta, Sunny Deol",Farz (2001),
Tujhe Dekhaa To Dil Meraa Dol Gayaa4.33 - 3 votes,"Anuradha Paudwal, Sonu Nigam",Uttam Singh,Sameer,"Sunny Deol, Preity Zinta",Farz (2001),
"Jadu Hai Yeh Kaisa, Kaisa Khumar Hai3.00 - 1 votes","Anuradha Paudwal, Sonu Nigam",Uttam Singh,Sameer,,Farz (2001),
Aye Dil Bekarar Bol Kahe Tu Asha3.00 - 1 votes,Shamim,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Kaho Ji Jee Na Lage Bin Tere3.00 - 1 votes,"Ishwar Lal, Shamim",Khemchand Prakash,D N Madhok,,Fariyad (1942),
Kitab Mujhko Banata To Tera Kya Jata1.00 - 1 votes,Ishwar Lal,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Mithi Mithi Peer1.00 - 1 votes,,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Phir Chayi Badariya Kaali1.00 - 1 votes,Shamim,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Rasiya Aa Aaja Rasiya1.00 - 1 votes,"Shamim, Ishwar Lal",Khemchand Prakash,D N Madhok,,Fariyad (1942),
Saiya Na Jaiyo1.00 - 1 votes,Rajkumari,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Subah Huyi Aur Yaad Tihari Mohe Lagi Satane1.00 - 1 votes,Binapani Mukherjee,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Yaad Kisi Ki Aayi1.00 - 1 votes,Ishwar Lal,Khemchand Prakash,D N Madhok,,Fariyad (1942),
Karke Ishara Mera Dil Le Gaya4.70 - 10 votes,Asha Bhosle,O P Nayyar,Jan Nisar Akhtar,,Farishta (1958),Masti Bhare Geet
Jo Waqt Pe Kaam Aa Jaye Aji Wohi Sahara Acha Hai4.56 - 16 votes,"Asha Bhosle, Mohammed Rafi",O P Nayyar,Qamar Jalalabadi,Ashok Kumar,Farishta (1958),Masti Bhare Geet
Aaj Maine Jana Mera Dil Hai Diwana4.20 - 10 votes,Asha Bhosle,O P Nayyar,Jan Nisar Akhtar,,Farishta (1958),
Bach Bach Bach Kahu Sach Sach Sach4.57 - 7 votes,Geeta Dutt,O P Nayyar,Jan Nisar Akhtar,Ashok Kumar,Farishta (1958),
Meri Ankhiyo Me Ankhiya Na Daal4.22 - 9 votes,Asha Bhosle,O P Nayyar,Jan Nisar Akhtar,,Farishta (1958),
"Balam Bada Jhutha, Sajan Bada Jhutha4.00 - 12 votes",Asha Bhosle,O P Nayyar,Jan Nisar Akhtar,"Meena Kumari, Ashok Kumar",Farishta (1958),"Shikwa Shikayat Songs, Roothna Manaana"
"Are Baaton Ke Hum Baadshaah, Baate Kare Mahaan4.75 - 4 votes",Mohammed Rafi,Kalyanji Anandji,Anjaan,,Farishta Ya Qatil (1977),Masti Bhare Geet
Kahi Dekha Na Kahi Dekha Na Shabaab4.75 - 4 votes,"Asha Bhosle, Mohammed Rafi",Kalyanji Anandji,Anjaan,"Rekha, Shashi Kapoor",Farishta Ya Qatil (1977),Masti Bhare Geet
Ishq Mein Hum To Jaan Se Guzar Jaayege4.00 - 2 votes,"Usha Mangeshkar, Anuradha Paudwal, Mohammed Rafi, Kishore Kumar",Kalyanji Anandji,Anjaan,"Rekha, Shashi Kapoor",Farishta Ya Qatil (1977),Masti Bhare Geet
Kali Kali Zulfo Me Kas Lungi Raja3.00 - 1 votes,"Usha Timothy, Anuradha Paudwal",Kalyanji Anandji,Anjaan,,Farishta Ya Qatil (1977),
Kuchh Aise Bandhan Hote Hai4.50 - 16 votes,"Lata Mangeshkar, Mukesh",Kalyanji Anandji,Anjaan,,Farishta Ya Qatil (1977),
Satya Ahinsa Aur Shanti Se Pyar Ki Ek Taswir Bani4.82 - 11 votes,Mukesh,Kalyanji Anandji,Anjaan,,Farishta Ya Qatil (1977),
"Zamane Me Koi Hamara Nahi, Kisi Ka Bhi Humko Sahara Nahi4.29 - 7 votes",Kishore Kumar,R D Burman,Anand Bakshi,,Farishta (1984),Dard Bhare Geet
"Galiyo Mai Sadaye Dete Hai, Hum Sabko Duaaye Dete Hai4.00 - 3 votes","Vivek Bajaj, Suresh Wadkar",R D Burman,Anand Bakshi,,Farishta (1984),Happy Songs
Bade Logo Ki Badi Badi Baato Se Hum Anjan Hai (2)4.00 - 2 votes,"Anuradha Paudwal, Amit Kumar, Suresh Wadkar, Vivek Bajaj",R D Burman,Anand Bakshi,,Farishta (1984),
Mai Pioonga Janab Pioonga2.00 - 2 votes,"Anuradha Paudwal, Amit Kumar",R D Burman,Anand Bakshi,,Farishta (1984),
Bade Logo Ki Badi Badi Baato Se Hum Anjaan Hai3.00 - 1 votes,"Kavita Krishnamurthy, Vivek Bajaj, Suresh Wadkar, Amit Kumar, Anuradha Paudwal",R D Burman,Anand Bakshi,,Farishta (1984),Masti Bhare Geet
Yeh Dil Kya Cheez Hai3.00 - 1 votes,Vivek Bajaj,R D Burman,Anand Bakshi,,Farishta (1984),
Dekhi Teri Duniya Are4.57 - 7 votes,Mukesh,Dattaram Wadkar,Asad Bhopali,Dev Kumar,Farishta (1968),Philosophical Songs
"Ek Khoobsurat Ladki, Mere Nahi4.25 - 4 votes","Kishore Kumar, Asha Bhosle",Dattaram Wadkar,Asad Bhopali,,Farishta (1968),Masti Bhare Geet
Duniyaa Ik Jhamela Hai3.00 - 1 votes,Asha Bhosle,Dattaram Wadkar,Asad Bhopali,,Farishta (1968),Masti Bhare Geet
Sabse Pyara Bhai Bahan Ka Pyar Hain3.75 - 4 votes,Asha Bhosle,Dattaram Wadkar,Asad Bhopali,,Farishta (1968),Rakhi (Bhai Behan) Songs
"Ruth Badli More Rasiya Mile, Rasiya Mile Ji Maan Basiya Mile1.00 - 1 votes",Asha Bhosle,Dattaram Wadkar,Asad Bhopali,,Farishta (1968),Masti Bhare Geet
Kuch Kar Maula4.00 - 3 votes,Abhijeet Sawant,Nakash Aziz,Sarim Momin,,Farida (Abhijeet Sawant) (2013),
Bawari4.00 - 2 votes,Abhijeet Sawant,Amit Sawant,Akhil Chaudhary,,Farida (Abhijeet Sawant) (2013),
Firaak Main4.00 - 2 votes,Abhijeet Sawant,Rajiv Bhalla,Akshay K. Saxena,,Farida (Abhijeet Sawant) (2013),
Aao More Piya3.00 - 1 votes,Abhijeet Sawant,Harpreet,Rajiv Pal Singh Rana,,Farida (Abhijeet Sawant) (2013),
Dil Fakira3.00 - 1 votes,Abhijeet Sawant,Rajiv Bhalla,Akshay K. Saxena,,Farida (Abhijeet Sawant) (2013),
Jhalleyaa3.00 - 1 votes,Abhijeet Sawant,Nakash Aziz,Sarim Momin,,Farida (Abhijeet Sawant) (2013),
Farida1.00 - 1 votes,Abhijeet Sawant,Harpreet,Rajiv Pal Singh Rana,,Farida (Abhijeet Sawant) (2013),
Ye Tumhari Meri Bate Hamesha Yu Hi Chalti Rahe4.60 - 5 votes,Dominique Cerejo,Shankar Ehsaan Loy,Javed Akhtar,"Prachi Desai, Farhan Akhtar, Arjun Rampal",Rock On (2008),Romantic Songs
Sinbaad The Sailor4.25 - 4 votes,"Farhan Akhtar, Raman Mahadevan",Shankar Ehsaan Loy,Javed Akhtar,"Farhan Akhtar, Arjun Rampal",Rock On (2008),Rock Songs
"Jehrile Jehrile, Kaale Nile Pile3.00 - 1 votes",Suraj Jagan,Shankar Ehsaan Loy,Javed Akhtar,"Arjun Rampal, Farhan Akhtar",Rock On (2008),Rock Songs
Phir Dekhiye3.00 - 1 votes,Caralisa Monteiro,Shankar Ehsaan Loy,Javed Akhtar,Arjun Rampal,Rock On (2008),Rock Songs
Tum Ho To Gaata Hai Dil4.30 - 10 votes,Farhan Akhtar,Shankar Ehsaan Loy,Javed Akhtar,"Farhan Akhtar, Arjun Rampal",Rock On (2008),"Romantic Songs, Rock Songs"
Socha Hai Ye Tumne Kya Kabhi4.71 - 7 votes,Farhan Akhtar,Shankar Ehsaan Loy,Javed Akhtar,"Farhan Akhtar, Arjun Rampal",Rock On (2008),Rock Songs
Pichhale Saat Dinon Mein Maine Khoya4.50 - 2 votes,Farhan Akhtar,Shankar Ehsaan Loy,Javed Akhtar,"Farhan Akhtar, Arjun Rampal",Rock On (2008),Rock Songs
"Rock On, Hai Ye Waqt Ka Ishaara4.33 - 6 votes",Farhan Akhtar,Shankar Ehsaan Loy,Javed Akhtar,"Farhan Akhtar, Arjun Rampal",Rock On (2008),Rock Songs
Pichle Saat Dino Me (Live Version)4.00 - 4 votes,Farhan Akhtar,Shankar Ehsaan Loy,Javed Akhtar,,Rock On (2008),
"Sabako Duniyaa Se Garaz, Jise Tu Naa Milaa4.67 - 3 votes","Sukhwinder Singh, Shankar Mahadevan",Anu Malik,Javed Akhtar,"Sunil Shetty, Reena Roy, Kulbhushan Kharbanda, Kareena Kapoor, Jackie Shroff, Ashish Vidyarthi, Anupam Kher, Abhishek Bachchan",Refugee (2000),
Jise Tu Naa Mila Use Kuchh Na Mila3.00 - 1 votes,Shankar Mahadevan,Anu Malik,Javed Akhtar,,Refugee (2000),
Panchhi Nadiya Pawan Ke Jhonke4.19 - 47 votes,"Sonu Nigam, Alka Yagnik",Anu Malik,Javed Akhtar,"Abhishek Bachchan, Kareena Kapoor",Refugee (2000),"Filmfare Awards Nominee, Patriotic Songs, Filmfare Awards Winner"
Mere Humsafar Mere Humsafar3.98 - 42 votes,"Alka Yagnik, Sonu Nigam",Anu Malik,Javed Akhtar,"Abhishek Bachchan, Kareena Kapoor",Refugee (2000),Romantic Songs
Raat Ki Hatheli Par3.75 - 20 votes,Udit Narayan,Anu Malik,Javed Akhtar,"Abhishek Bachchan, Kareena Kapoor",Refugee (2000),Sad Songs
O Aisa Lagta Hai Jo Na Hua Hone Ko Hai4.73 - 11 votes,"Alka Yagnik, Sonu Nigam",Anu Malik,Javed Akhtar,"Abhishek Bachchan, Kareena Kapoor",Refugee (2000),Romantic Songs
Taal Pe Jab Ye Zindagaani Chali4.08 - 12 votes,"Alka Yagnik, Sonu Nigam",Anu Malik,Javed Akhtar,"Sunil Shetty, Reena Roy, Kulbhushan Kharbanda, Kareena Kapoor, Jackie Shroff, Ashish Vidyarthi, Anupam Kher, Abhishek Bachchan",Refugee (2000),Romantic Songs
Taal Pe Jab Ye Jindgani Chali4.50 - 4 votes,"Alka Yagnik, Sonu Nigam",Anu Malik,Javed Akhtar,"Abhishek Bachchan, Kareena Kapoor",Refugee (2000),Romantic Songs
Qad O Gesoo3.00 - 1 votes,Mohammed Rafi,Taj Ahmad Khan,Mirza Ghalib,,Qad O Gesoo (1970),
Mujh Se Pahali Si Mohabbat Mere Mahabub Na Maang4.42 - 31 votes,Noor Jehan,Rashid Atre,Faiz Ahmed Faiz,,Qaidi (1940),
Chahat (Ali Haider)3.00 - 1 votes,Ali Haider,,,,Qarar 2 (Remix) (1993),
Purani Jeans (Ali Haider)3.00 - 1 votes,Ali Haider,,,,Qarar 2 (Remix) (1993),
Sharaabee3.00 - 1 votes,Ali Haider,,,,Qarar 2 (Remix) (1993),
Dil Ki Baatein3.00 - 1 votes,Ali Haider,,,,Qarar 2 (Remix) (1993),
Jai Jai Hindustan4.33 - 3 votes,Manna Dey,V Balsara,C J Pavri,,Qurbani (1952),
Sipahi Hu Mai Hind Ka Hind Mera Pyar1.00 - 1 votes,Manna Dey,V Balsara,C J Pavri,,Qurbani (1952),
Bade Shokh Hote Hai3.00 - 1 votes,,Shivram,,,Qatil (1970),
Parwana Kehta Hai Kya Afsana3.00 - 1 votes,,Shivram,,,Qatil (1970),
Dil Ki Kali Khil Gayi3.00 - 2 votes,,Shivram,,,Qatil (1970),
Dekh Liya O Bhagwan1.00 - 1 votes,Khan Mastana,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Duniya Wale Sach Kehna1.00 - 1 votes,Khan Mastana,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Humne To Mohabbat Me1.00 - 1 votes,,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Jitna Bhi Tu Mita Sake Mere Suku1.00 - 1 votes,Sudha Karmase,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Jitni Pee Sake Tu Pee1.00 - 1 votes,,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Le Lo Phool1.00 - 1 votes,Sudha Karmase,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Lo Prem Ka Nata Tut Gaya1.00 - 1 votes,Yashwant Bhatt,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Mai Koyal Ban Jaau1.00 - 1 votes,Sudha Karmase,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
O Rone Wale Ye Duniya Hai1.00 - 1 votes,Yashwant Bhatt,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Ulfat Ka Zamana Hai1.00 - 1 votes,Sudha Karmase,K Narayana Rao,Shewan Rizvi,,Qatil (1944),
Mere Jaisa Nahi Milega4.60 - 10 votes,"Mohammed Rafi, Madan Mohan, Kishore Kumar",Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),
"Aadhi Tum Kha Lo, Aadhi Ham Kha Le4.53 - 17 votes","Kishore Kumar, Mohammed Rafi",Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),
Jo Baat Abhi Tak Thi Dil Me Hotho Pe Wo Aa Hi Jaati Hai3.75 - 8 votes,Lata Mangeshkar,Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),
Chal Diya Dil Meraa Tod Ke4.58 - 26 votes,Lata Mangeshkar,Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),Sad Songs
"Ye To Bata Rasiya, Kahe Meri Ankhiyo Se Nindiya Churaye Liye Jaye4.63 - 16 votes",Lata Mangeshkar,Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),Romantic Songs
Kab Tak Tu Bhagwan Se Apna Aap Chhupayega4.57 - 14 votes,Mohammed Rafi,Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),Sad Songs
Ye Bhul Huyi Bhule Se Kabhi Ham Teri Tamanna Kar Bhaithe4.50 - 16 votes,Mohammed Rafi,Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),Shikwa Shikayat Songs
"Sham Ka Aanchal Dhalka, Raat Ka Sagar Chhalka4.17 - 12 votes",Geeta Dutt,Madan Mohan,Rajinder Krishan,,Fifty Fifty (1956),Masti Bhare Geet
Maine Jisko Chaha Mil Gaya3.45 - 11 votes,"Sonu Nigam, Alisha Chinai",Anu Malik,Sameer,"Fardeen Khan, Kareena Kapoor",Fida (2004),"Romantic Songs, Dance Songs"
Aaj Kaho Sanam Jitna4.50 - 2 votes,"Alka Yagnik, Kumar Sanu",Anu Malik,Sameer,"Shahid Kapoor, Kareena Kapoor",Fida (2004),"Party Songs, Dance Songs"
Aaja Ve Mahi Ve Soniya4.00 - 6 votes,"Udit Narayan, Kareena Kapoor, Alka Yagnik",Anu Malik,Sameer,"Shahid Kapoor, Kareena Kapoor",Fida (2004),"Dance Songs, Disco Songs, Rock Songs"
Dil Mere Na Aur Intjar Kar3.71 - 7 votes,"Udit Narayan, Alka Yagnik",Anu Malik,Sameer,"Kareena Kapoor, Shahid Kapoor",Fida (2004),Romantic Songs
Najar Najar Dhunde Use Meri Najar3.33 - 9 votes,"Sapna Mukherjee, Udit Narayan",Anu Malik,Sameer,"Shahid Kapoor, Kareena Kapoor, Fardeen Khan",Fida (2004),"Dance Songs, Romantic Songs"
Nazar Nazar (Instrumental)1.00 - 1 votes,,Anu Malik,,,Fida (2004),Instrumental Songs
Life Yeh Mausambi Si4.75 - 4 votes,K. Mohan,Pritam Chakraborty,"Satyanshu, Devanshu Singh",,Ferrari Ki Sawaari (2012),
Mara Re Sixer Mara Re Four4.60 - 5 votes,"Ashish, Aishwarya Nigam, Rana Mazumder, Sonu Nigam",Pritam Chakraborty,Swanand Kirkire,"Ritvik Sahore, Sharman Joshi",Ferrari Ki Sawaari (2012),Masti Bhare Geet
"Chal Ghoome, Farari Ki Sawari3.83 - 6 votes","Ayush Phukan, Boman Irani, Shaan",Pritam Chakraborty,Amitabh Bhattacharya,,Ferrari Ki Sawaari (2012),Title Song
"Mala Jau De, Mujhe Jaane De4.24 - 25 votes",Urmila Dhangar,Pritam Chakraborty,Guru Thakur,"Vidya Balan, Sharman Joshi",Ferrari Ki Sawaari (2012),Dance Songs
Good Night Aankhen Moond Le4.31 - 13 votes,Priyani Vani,Pritam Chakraborty,Amitabh Bhattacharya,,Ferrari Ki Sawaari (2012),Lori Songs
"Ae Mere Mann, Karna Tu Aise Karam4.50 - 8 votes",Shyamantan Das,Pritam Chakraborty,Swanand Kirkire,,Ferrari Ki Sawaari (2012),All Time Great
Rusy's Theme3.00 - 1 votes,,Pritam Chakraborty,,,Ferrari Ki Sawaari (2012),Instrumental Songs
Mile Ho Tum Humko4.37 - 19 votes,Tony Kakkar,Tony Kakkar,Tony Kakkar,"Caterina Murino, Gemma Atkinson, Gauahar Khan, Rajeev Khandelwal",Fever (2016),Romantic Songs
Mile Ho Tum Humko4.83 - 6 votes,"Neha Kakkar, Tony Kakkar",,,,Fever (2016),Remix Songs
Carried Away3.00 - 2 votes,Onesia Rithner,,,,Fever (2016),
Bas Ek Baar3.00 - 1 votes,Arijit Singh,,,,Fever (2016),Sad Songs
Besambhle3.00 - 1 votes,Arijit Singh,Tanishk,A. M. Turaz,"Gemma Atkinson, Caterina Murino, Rajeev Khandelwal",Fever (2016),Pop Songs
D'accord3.00 - 1 votes,Onesia Rithner,,,,Fever (2016),
Dil Ashkon Mein Yun3.00 - 1 votes,"Sonu Kakkar, Tony Kakkar",,,,Fever (2016),
