title,link,price,likes
Interview Cake (Full Course) 3+9 months $29,https://slickdeals.net/f/13979183-interview-cake-full-course-3-9-months-29?src=catpagev2,$29,2
"All new MSI Prestige 15: 15.6'' 4K IPS, i7-10710U 6 Core, 16GB DDR4, GTX 1650, 512GB PCIe SSD, Thunderbolt 3, Win10H @ $1300 + F/S",https://slickdeals.net/f/13978736-all-new-msi-prestige-15-15-6-4k-ips-i7-10710u-6-core-16gb-ddr4-gtx-1650-512gb-pcie-ssd-thunderbolt-3-win10h-1300-f-s?src=catpagev2,"$1,300",3
Lexar 500GB external SSD USB 3.1 gen 2 $75 AC shipped @ Staples,https://slickdeals.net/f/13978508-lexar-500gb-external-ssd-usb-3-1-gen-2-75-ac-shipped-staples?src=catpagev2,N/A,3
"Costco - LG Gram 13, 8GB DDR4, 8th Gen i5 - $250 off $749.99",https://slickdeals.net/f/13977614-costco-lg-gram-13-8gb-ddr4-8th-gen-i5-250-off-749-99?src=catpagev2,$749.99,8
Micro Center: iPad Pro 2018 64GB Wifi + Cellular $649.99 YMMV - Space Gray / Silver,https://slickdeals.net/f/13979042-micro-center-ipad-pro-2018-64gb-wifi-cellular-649-99-ymmv-space-gray-silver?src=catpagev2,N/A,0
Netgear c7100v renewed voice internet xfinity $149.99,https://slickdeals.net/f/13978571-netgear-c7100v-renewed-voice-internet-xfinity-149-99?src=catpagev2,$149.99,0
"ESET NOD32 Antivirus 2019 (3 PCs, Digital Download) $15.99",https://slickdeals.net/f/13978292-eset-nod32-antivirus-2019-3-pcs-digital-download-15-99?src=catpagev2,$15.99,0
Netgear 8-Port Gigabit Ethernet Smart Managed Plus Switch $17,https://slickdeals.net/f/13976015-netgear-8-port-gigabit-ethernet-smart-managed-plus-switch-17?src=catpagev2,$17,9
"Brother Compact Monochrome Laser Printer, HL-L2350DW, Wireless Printing, Duplex Two-Sided Printing, Amazon Dash Replenishment Enabled [HLL2350DW] $89.99",https://slickdeals.net/f/13976225-brother-compact-monochrome-laser-printer-hl-l2350dw-wireless-printing-duplex-two-sided-printing-amazon-dash-replenishment-enabled-hll2350dw-89-99?src=catpagev2,$89.99,5
Kanto YU2 Desktop Speakers $169.99,https://slickdeals.net/f/13976981-kanto-yu2-desktop-speakers-169-99?src=catpagev2,$169.99,1
Turtle Beach Elite Atlas Aero Wireless PC Gaming Headset $99.95,https://slickdeals.net/f/13976711-turtle-beach-elite-atlas-aero-wireless-pc-gaming-headset-99-95?src=catpagev2,$99.95,0
"Samsung - Notebook 9 Pro 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Platinum Titan $799.99",https://slickdeals.net/f/13974215-samsung-notebook-9-pro-2-in-1-13-3-touch-screen-laptop-intel-core-i7-8gb-memory-256gb-solid-state-drive-platinum-titan-799-99?src=catpagev2,$799.99,36
"Acer Nitro 22"" Class FHD Gaming Monitor $89.99 @ Costco",https://slickdeals.net/f/13974824-acer-nitro-22-class-fhd-gaming-monitor-89-99-costco?src=catpagev2,$89.99,6
Qnap TVS-673e 6-Bay NAS @ Adorama (Ships between 7-14 days) $979.00,https://slickdeals.net/f/13975349-qnap-tvs-673e-6-bay-nas-adorama-ships-between-7-14-days-979-00?src=catpagev2,N/A,1
Google Nest Hub Max 2 for $399 plus $70 kohl's cash and free shipping,https://slickdeals.net/f/13974938-google-nest-hub-max-2-for-399-plus-70-kohl-s-cash-and-free-shipping?src=catpagev2,N/A,0
Western Digital: Buy 2 or More iXpand Mini 128GB Blue for $39.99 Each,https://slickdeals.net/f/13973165-western-digital-buy-2-or-more-ixpand-mini-128gb-blue-for-39-99-each?src=catpagev2,$39.99,13
ATT Fiber Internet Customers: Free Wifi Extender - YMMV Deal,https://slickdeals.net/f/13972859-att-fiber-internet-customers-free-wifi-extender-ymmv-deal?src=catpagev2,N/A,55
AMD Ryzen Threadripper 2950X 3.5GHz 16 Core TR4 Boxed Processor $549.99,https://slickdeals.net/f/13973948-amd-ryzen-threadripper-2950x-3-5ghz-16-core-tr4-boxed-processor-549-99?src=catpagev2,$549.99,3
"Team Group GX2 2.5"" 512GB SATA III Internal SSD - $56.99 + FS",https://slickdeals.net/f/13972955-team-group-gx2-2-5-512gb-sata-iii-internal-ssd-56-99-fs?src=catpagev2,N/A,5
Complete Cyber Security 11-Course Certification Training Bundle $14.69,https://slickdeals.net/f/13973411-complete-cyber-security-11-course-certification-training-bundle-14-69?src=catpagev2,$14.69,2
"PICTEK Gaming Keyboard with Phone Holder and Volume Wheel,【2020 RGB Enhanced】Customizable RGB Backlit, 9 Dedicated Media Keys and Splash-Proof Design - $26.39 + FS",https://slickdeals.net/f/13973708-pictek-gaming-keyboard-with-phone-holder-and-volume-wheel-2020-rgb-enhanced-customizable-rgb-backlit-9-dedicated-media-keys-and-splash-proof-design-26-39-fs?src=catpagev2,$26.39,0
HP INSTANT INK - 3x $60 ($180) prepaid cards for $118,https://slickdeals.net/f/13971914-hp-instant-ink-3x-60-180-prepaid-cards-for-118?src=catpagev2,$118,13
"Network, Security & Ethical Hacking: The Ultimate Cybersecurity Certification Bundle $24",https://slickdeals.net/f/13973057-network-security-ethical-hacking-the-ultimate-cybersecurity-certification-bundle-24?src=catpagev2,N/A,2
AMD Ryzen 9 3900x Matisse 3.8GHz 12-Core AM4 Boxed Processor with Wraith Prism Cooler $399.99 -  SAVE $100.00,https://slickdeals.net/f/13971638-amd-ryzen-9-3900x-matisse-3-8ghz-12-core-am4-boxed-processor-with-wraith-prism-cooler-399-99-save-100-00?src=catpagev2,$399.99,26
The Beginner Cloud Architect Professional Training Bundle Ft. Microsoft Azure & Amazon Web Services (Lifetime Access) $24,https://slickdeals.net/f/13973294-the-beginner-cloud-architect-professional-training-bundle-ft-microsoft-azure-amazon-web-services-lifetime-access-24?src=catpagev2,N/A,1
